Site_id	PPT	Gini	GDD
17AHG05	734.336666666667	0.799165468079635	2122.5
17AHG10	739.17	0.793713031440833	2139.2325
17AHG15	665.01	0.789897459964329	2031.07083333333
17AHG17	755.001666666667	0.804910353089251	2172.22583333333
17AHG25	738.715	0.793258866609972	2141.78583333333
17ALM02	659.86	0.733198893286461	1638.36583333333
17ALM06	676.08	0.727130779731188	1615.43916666667
17ALM13	676.08	0.727130779731188	1615.43916666667
17ALM14	672.355	0.740841059579878	1592.37666666667
17AST06	712.113333333333	0.794787555642794	2220.09833333333
17AST08	706.47	0.794941116748443	2225.26416666667
17AST09	711.243333333333	0.790201604932533	2234.67083333333
17AST15	705.493333333333	0.796256625402991	2218.99166666667
17AST22	717.623333333333	0.787253246419022	2237.3675
17BET02	696.486666666667	0.790789552710427	2251.3075
17BET03	701.335	0.78953181352013	2243.08416666667
17BET07	732.068333333333	0.806509013788347	2217.39166666667
17BET14	722.531666666667	0.807942093978429	2229.99833333333
17BVG01	813.89	0.754934221610543	1862.31
17BVG02	788.563333333333	0.766619410603716	1874.44333333333
17BVG03	788.765	0.767172309382299	1878.535
17BVG07	804.24	0.756060205646978	1853.4725
17BVG15	789.731666666667	0.766288565507265	1872.71333333333
17BVG16	821.63	0.754924588380917	1870.66083333333
17COP01	718.246666666667	0.795924678901832	2195.81833333333
17COP09	766.141666666667	0.775482044373128	1955.26
17COP10	767.483333333333	0.775423786550251	1952.50833333333
17COP13	773.078333333333	0.772750445599637	1922.55166666667
17COP14	726.346666666667	0.773504283095363	1993.545
17COP16	719.86	0.794839680877906	2203.53583333333
17DBY02	715.786666666667	0.762100925901708	1891.625
17DBY09	816.68	0.755748673247981	1808.48
17DBY12	808.176666666667	0.756753628374769	1830.61
17DBY14	805.26	0.752266549672686	1774.15916666667
17DBY17	770.191666666667	0.757604271033259	1877.03416666667
17DBY18	770.191666666667	0.757604271033259	1877.03416666667
17HBV01	706.138333333333	0.715940967910211	1626.27833333333
17HBV05	647.565	0.737296804617063	1652.67083333333
17HBV07	704.645	0.717256236957088	1632.96
17HBV12	701.426666666667	0.72031484360462	1642.72416666667
17HBV13	704.98	0.717471998570404	1634.60666666667
17HBV14	701.118333333333	0.722198354727015	1643.56666666667
17JSH06	748.361666666667	0.78281398435666	2195.39916666667
17JSH07	748.361666666667	0.78281398435666	2195.39916666667
17JSH09	723.206666666667	0.789219361942394	2195.0825
17JSH12	712.16	0.793819643551642	2198.845
17JSH19	713.523333333333	0.795559545806014	2205.39583333333
17JSH21	722.341666666667	0.786475014634526	2233.945
17MOI02	888.721666666667	0.752527086082524	1762.1975
17MOI04	795.363333333333	0.782312955999698	1974.83166666667
17MOI11	816.436666666667	0.769427842789504	1831.26083333333
17MOI12	863.551666666667	0.751984823683847	1805.835
17MOI15	859.126666666667	0.753046521711662	1813.24
17MOI16	867.336666666667	0.762821205411439	1766.72666666667
17NMD01	678.915	0.735462724455448	1640.01416666667
17NMD04	681.781666666667	0.737728964610765	1560.36166666667
17NMD06	677.125	0.739110255959926	1587.10083333333
17NMD07	665.255	0.743151104182816	1611.91583333333
17NMD11	686.03	0.737268025295454	1534.41666666667
17NMD13	665.378333333333	0.742927889066923	1612.99083333333
17SBR01	652.866666666667	0.799256317842109	2273.0575
17SBR02	650.171666666667	0.800104938149929	2273.63916666667
17SBR03	650.265	0.800241845540055	2270.61166666667
17SBR04	653.925	0.798257313214012	2265.3825
17SBR13	650.518333333333	0.798534301161683	2257.04833333333
17SBR14	640.865	0.801305810047281	2266.71833333333
17SCS01	798.598333333333	0.768702084888466	1931.3375
17SCS02	812.405	0.764622321322551	1894.22333333333
17SCS03	803.61	0.759118010447395	1860.66333333333
17SCS06	800.305	0.75991005909047	1864.545
17SCS07	797.991666666667	0.760649223048657	1890.24916666667
17SDM01	696.193333333333	0.799402376635141	2201.31833333333
17SDM02	700.481666666667	0.797627626649603	2202.6075
17SDM03	705.656666666667	0.796693386646321	2207.85166666667
17SDM05	750.321666666667	0.779610535738706	2194.05083333333
17SDM06	711.411666666667	0.791175511669554	2229.88833333333
17SDM19	706.725	0.79561622194803	2251.52416666667
17SDR01	651.295	0.780676447735803	1784.99916666667
17SDR11	568.51	0.781109525635603	1386.36583333333
17SDR15	608.143333333333	0.786631588485167	1627.91083333333
17SDR16	601.343333333333	0.788563918892828	1660.85916666667
17SDR17	648.073333333333	0.780764376747694	1761.31916666667
17SDR20	580.565	0.780820733827213	1567.55083333333
17SIB01	802.64	0.757395239499939	1814.25333333333
17SIB04	817.763333333333	0.756177883663278	1762.32583333333
17SIB05	808.568333333333	0.74771887811056	1680.92333333333
17SIB10	761.551666666667	0.75839721255828	1726.705
17SIB11	623.313333333333	0.775844941997335	1542.72833333333
17SIB15	613.9	0.773269142188429	1540.49666666667
17SJU01	705.775	0.781402133848861	2042.80583333333
17SJU02	703.068333333333	0.782053220255683	2039.23
17SJU06	823.815	0.753836058008429	1862.775
17SJU09	700.516666666667	0.781922892689444	2104.4675
17SJU11	757.573333333333	0.778804342528802	2206.43666666667
17SJU22	733.951666666667	0.775771067178418	2046.335
17SYT05	715.453333333333	0.789187628728346	2245.4525
17SYT14	696.76	0.799011204462853	2201.6525
17SYT16	717.095	0.787283868787859	2251.4
17SYT17	717.095	0.787283868787859	2251.4
17SYT18	714.86	0.788914459360067	2239.62083333333
17TLL02	666.57	0.730616837797019	1628.79
17TLL10	681.54	0.724162404532247	1665.15416666667
17TLL15	677.988333333333	0.738622937934875	1576.7825
17TLL16	672.355	0.740841059579878	1592.37666666667
